total_protein,total_keratine,hair_texture,vitamin,manganese,iron,calcium,body_water_content,stress_level,liver_data,hair_fall
364,232,60,270,460,499,276,91,93,144,2
316,401,20,433,391,53,84,14,15,182,0
298,216,0,241,100,455,314,3,32,323,0
71,157,48,75,202,125,107,61,41,446,3
63,145,41,307,411,354,14,92,15,216,3
216,245,43,297,173,324,183,92,92,128,4
135,391,98,115,14,373,221,88,99,405,2
368,403,84,406,13,381,474,55,79,366,4
166,181,85,154,302,156,354,89,3,27,2
224,424,86,418,154,130,25,10,98,132,2
237,63,75,200,146,414,441,75,7,346,0
354,316,46,152,294,493,17,37,26,482,0
318,430,85,326,314,226,497,87,38,179,0
476,411,38,455,205,302,74,98,65,414,2
372,157,48,472,57,429,35,28,51,264,2
222,146,86,317,332,13,62,50,87,338,1
218,260,5,119,263,12,200,21,19,411,0
86,181,88,313,50,288,89,64,3,432,4
127,202,41,67,45,440,165,75,10,305,5
44,427,24,47,315,50,483,15,29,175,5
31,277,98,217,259,89,223,78,5,434,5
13,8,4,59,362,48,453,22,84,234,2
295,316,14,428,76,140,341,34,93,280,1
264,485,51,101,247,7,355,90,78,149,4
188,320,82,103,321,2,120,16,3,69,5
451,253,51,460,390,250,152,13,71,473,2
101,168,13,354,6,158,50,51,81,293,3
87,357,77,365,434,168,22,73,95,71,0
2,394,80,399,87,318,286,50,39,227,3
242,215,82,66,63,64,268,97,71,142,5
244,481,16,100,475,94,397,56,85,291,5
20,157,56,354,17,448,65,55,3,343,3
105,13,86,283,257,194,240,57,28,192,1
339,234,82,348,400,191,103,38,65,414,5
17,117,84,313,123,66,98,24,33,301,1
488,52,81,74,316,47,266,24,81,200,5
148,404,43,258,144,469,186,54,27,141,4
344,323,47,198,281,68,470,29,25,415,3
394,394,85,238,488,286,264,64,85,15,2
211,287,90,292,325,219,321,15,12,346,2
104,235,70,320,366,359,189,45,69,488,2
368,421,76,11,460,249,359,11,40,397,4
10,256,31,477,242,332,439,93,70,457,5
28,239,99,228,280,345,473,36,3,272,1
61,252,62,414,413,51,490,49,0,381,1
355,134,76,406,71,63,484,13,19,337,5
287,263,35,468,150,22,438,62,98,373,2
115,424,2,31,476,436,382,58,91,404,4
338,235,41,352,334,374,283,22,48,203,0
43,226,82,475,494,135,17,86,93,148,3
374,380,58,262,387,419,308,15,15,427,0
252,321,24,17,114,269,452,84,99,450,1
251,436,60,57,429,323,87,9,49,406,4
414,441,5,490,409,436,193,59,6,75,2
122,414,3,100,266,167,51,54,0,156,0
421,25,61,453,210,365,430,91,86,328,5
462,131,46,162,387,473,147,24,35,236,1
185,34,97,307,21,317,71,22,72,163,4
268,149,43,406,23,343,55,7,91,347,3
224,495,3,8,220,192,432,81,30,371,0
344,277,97,249,447,279,335,71,98,130,0
269,355,35,171,405,457,130,23,69,47,5
170,382,3,328,183,211,19,24,75,208,3
369,264,29,101,4,114,237,58,53,154,2
187,454,89,467,485,50,156,50,8,256,0
405,54,92,179,220,236,361,33,21,81,0
111,213,51,231,192,366,144,57,32,2,5
74,71,88,184,165,383,145,39,0,301,0
490,42,8,489,258,268,164,15,45,29,1
326,193,43,337,159,205,2,84,0,263,1
295,236,83,165,455,139,300,69,50,87,5
362,269,38,6,439,398,338,42,83,400,0
347,162,63,151,131,451,401,43,41,290,3
63,101,28,60,334,376,421,8,65,144,4
324,159,82,40,390,210,485,48,12,247,3
342,259,71,368,241,182,353,67,26,26,5
71,437,41,75,88,409,441,17,75,470,3
195,390,68,12,70,392,90,5,86,278,1
159,322,0,76,428,485,433,88,44,203,0
0,120,46,426,121,348,196,68,97,90,0
368,188,87,224,152,389,334,99,62,439,5
218,29,87,4,22,120,425,32,89,425,3
263,344,60,260,368,429,465,50,41,207,0
375,132,38,374,274,233,291,98,93,163,3
292,198,23,44,273,234,333,83,80,389,1
294,134,41,313,358,372,285,76,53,291,2
172,110,65,446,313,29,66,17,65,324,3
460,276,77,115,198,301,246,49,16,159,2
203,288,52,284,390,128,180,57,45,119,5
486,276,88,376,105,460,497,42,48,60,1
457,455,83,14,472,134,195,81,98,441,2
54,486,74,304,477,372,135,87,68,450,1
379,240,89,279,198,54,141,17,39,74,5
303,31,73,59,311,118,381,3,64,373,4
301,136,25,183,69,476,189,8,9,68,1
163,417,37,168,161,74,35,15,62,123,3
114,236,87,7,127,169,203,80,77,293,1
487,29,81,252,103,436,470,61,23,313,1
91,471,2,413,49,385,490,88,8,417,0
410,363,33,230,79,105,62,99,29,255,0
383,191,56,231,110,422,263,69,62,232,1
483,179,84,495,439,8,462,82,49,218,4
451,134,33,122,296,265,137,84,27,27,1
123,225,59,499,26,214,165,84,83,171,0
171,203,7,340,214,309,377,97,52,113,4
317,8,37,230,29,363,205,28,56,427,3
246,144,22,472,234,434,494,6,10,401,1
54,294,10,116,2,50,428,87,58,489,1
293,277,81,382,208,133,154,33,72,423,2
250,126,60,499,293,346,193,13,1,392,1
157,392,0,86,183,160,7,42,0,15,4
166,442,99,353,136,423,384,81,70,226,2
182,356,24,114,238,411,310,31,77,269,4
417,218,57,76,81,191,91,75,50,272,1
6,288,38,227,346,333,208,91,36,323,4
192,15,55,41,486,487,93,59,3,328,1
379,100,66,92,120,285,30,88,36,262,4
345,268,34,478,29,227,307,9,98,208,0
187,316,18,104,356,86,319,7,55,433,4
143,255,61,92,316,135,469,26,88,366,4
451,15,1,388,464,175,177,96,56,499,5
416,356,3,196,65,149,262,12,39,224,4
77,380,59,260,7,348,468,91,92,440,5
291,354,76,481,65,302,180,99,7,325,2
178,188,84,61,50,207,249,39,86,15,4
311,89,50,251,222,279,457,14,92,73,2
42,430,7,381,60,96,124,50,34,81,4
453,163,50,104,428,97,430,14,31,269,3
128,408,93,144,408,326,28,0,47,267,3
236,51,24,293,169,167,70,97,71,225,0
469,196,39,477,291,97,71,72,78,369,1
103,151,39,14,164,25,281,55,32,208,3
194,340,77,119,362,426,185,69,74,168,2
411,239,77,294,478,90,288,19,40,120,5
282,63,35,499,377,327,469,77,70,169,0
395,454,64,213,61,185,99,41,69,195,1
444,101,98,313,281,410,43,0,33,349,5
464,497,72,24,469,434,43,98,43,443,5
189,126,65,424,94,100,260,72,90,327,4
440,246,43,449,450,490,4,52,55,193,0
404,224,30,78,14,372,353,52,77,32,4
487,113,87,218,362,179,410,64,99,422,0
318,6,39,410,258,290,342,50,81,364,1
221,87,30,69,41,314,464,85,22,395,2
378,84,52,426,299,479,468,33,81,341,4
421,236,52,215,23,53,437,86,88,64,5
411,441,56,41,24,407,494,27,55,123,4
144,81,32,180,154,238,445,84,10,441,4
135,366,96,474,245,347,98,69,9,307,4
466,55,51,353,374,228,105,33,79,268,2
464,321,23,227,213,349,192,66,83,462,0
199,55,48,157,237,470,244,69,76,311,1
97,416,23,191,388,64,258,50,29,288,2
414,368,6,364,405,24,70,17,76,299,5
165,188,59,178,327,395,337,40,21,181,1
397,253,23,292,269,490,374,51,90,331,1
198,66,6,48,135,17,4,81,82,460,2
357,178,56,83,264,434,475,93,76,324,5
103,422,92,41,142,77,490,43,33,32,5
315,11,90,331,200,478,392,33,32,436,3
237,316,81,60,102,153,336,56,70,420,4
53,1,55,267,28,329,367,23,56,53,1
236,194,75,229,337,412,12,83,37,127,2
348,34,10,125,238,499,162,96,28,160,4
432,287,28,104,263,316,266,82,3,212,3
403,288,15,159,250,286,236,67,89,103,5
104,128,96,393,31,493,406,65,49,13,0
123,478,1,276,77,152,348,37,22,480,3
330,61,13,454,284,416,349,39,14,410,0
214,145,72,249,418,445,169,57,66,496,0
429,138,80,160,180,143,483,35,49,302,0
428,40,83,150,125,31,142,65,67,68,4
92,73,6,239,29,160,265,83,79,379,4
196,445,1,247,296,150,451,41,95,153,1
61,158,85,227,324,73,230,56,73,280,3
479,154,88,191,97,245,144,69,36,136,2
65,373,61,165,261,290,428,30,77,81,2
179,89,17,293,318,352,93,59,77,416,1
116,129,19,328,257,440,100,7,11,473,3
437,338,69,409,282,104,318,27,27,208,5
121,377,72,23,210,476,455,64,90,466,1
240,444,31,249,7,45,484,62,1,292,5
280,33,8,126,76,493,215,49,40,333,4
195,176,51,21,17,385,454,98,47,46,3
35,379,55,420,304,227,483,25,76,277,3
93,488,20,234,96,257,388,68,68,342,1
325,329,32,341,387,330,337,5,43,202,3
105,317,86,314,106,498,20,5,47,117,3
85,132,72,325,284,246,415,39,56,22,5
308,409,43,123,282,290,307,80,46,477,5
357,382,45,191,222,225,181,12,12,478,1
368,222,70,431,245,254,14,21,51,158,4
330,287,68,195,72,225,181,21,47,249,1
390,229,76,232,493,389,130,77,80,160,1
319,141,7,361,399,482,424,38,27,133,2
67,178,79,420,236,202,499,23,42,370,3
325,100,41,425,315,13,451,82,36,291,2
0,29,5,368,221,403,206,68,79,369,0
170,206,1,304,308,338,181,36,61,426,3
68,65,65,1,101,287,45,40,25,496,1
380,72,26,288,369,180,177,62,45,142,2
92,78,35,118,103,316,369,7,54,87,5
114,294,38,135,292,393,185,75,39,102,4
210,483,39,134,167,199,93,21,63,313,0
232,323,11,483,175,314,335,51,81,377,4
24,242,92,456,75,90,161,66,17,313,1
53,492,86,486,5,420,268,2,65,136,4
26,218,58,229,289,31,380,6,28,469,4
369,200,31,375,180,177,359,65,12,159,5
59,333,73,448,178,225,138,69,72,112,0
100,297,72,488,435,156,449,90,36,64,3
176,242,90,132,400,360,339,48,65,328,1
334,33,92,232,287,302,381,89,25,16,4
346,402,91,477,44,52,59,74,67,418,1
488,316,64,126,3,87,75,69,68,309,3
282,365,56,352,331,25,433,32,14,402,2
77,179,55,345,449,1,69,29,30,0,2
307,343,24,71,211,300,460,72,37,411,2
28,8,43,240,263,72,390,74,12,211,0
141,458,11,444,153,131,368,23,54,302,5
387,325,47,274,128,294,365,45,56,343,4
16,6,11,124,168,435,168,89,71,127,1
464,255,12,341,276,6,214,9,25,332,0
136,262,98,449,452,18,494,70,23,422,1
21,408,89,269,376,283,175,63,6,52,4
64,409,77,461,277,453,197,80,64,178,1
191,263,40,305,99,278,38,67,65,156,0
193,411,74,408,129,11,278,22,58,159,5
460,212,71,121,266,109,479,32,73,185,4
217,414,71,449,3,472,498,64,0,166,3
410,342,22,389,131,404,243,92,22,337,1
446,435,84,417,55,69,394,16,19,80,1
157,424,54,55,261,89,157,42,40,263,2
105,180,77,94,335,322,36,56,22,451,4
98,203,12,167,68,378,483,69,84,499,4
262,275,73,403,77,162,489,25,55,73,4
7,269,83,130,192,198,271,66,29,120,0
61,440,61,161,329,249,282,29,59,478,3
338,422,36,283,475,316,82,75,31,424,4
304,312,25,411,87,364,397,40,9,411,3
416,86,19,185,124,94,10,69,9,51,4
154,205,30,495,479,140,209,72,5,293,0
286,431,98,103,97,262,6,34,62,333,3
59,366,40,17,349,184,36,45,81,483,1
155,11,0,166,38,464,257,45,38,487,4
240,104,42,402,209,492,202,19,74,398,0
249,195,20,142,342,483,274,28,98,463,2
418,292,37,187,326,181,410,47,0,294,2
112,493,89,176,343,131,297,66,95,462,5
259,346,11,379,321,38,168,49,3,401,1
159,397,8,0,248,181,165,39,36,175,3
193,220,79,128,112,73,74,41,38,268,1
345,377,16,79,290,269,52,37,69,168,2
205,390,2,83,82,369,160,10,39,46,2
45,135,76,85,268,150,258,33,98,65,4
262,88,62,166,464,457,461,69,6,164,4
249,384,60,92,304,441,57,10,96,408,5
327,477,38,68,452,375,123,77,61,95,1
353,208,50,423,140,240,220,2,67,72,0
144,26,98,347,113,377,414,54,42,149,5
51,48,35,481,9,149,58,81,85,451,2
462,429,9,389,442,85,298,59,92,179,5
206,191,33,393,499,194,200,40,32,153,2
151,239,8,236,72,192,244,71,51,45,0
147,472,36,74,159,35,212,36,10,442,4
63,172,29,185,329,412,132,96,45,36,4
410,160,81,188,91,426,57,52,2,323,4
387,465,76,447,233,92,367,1,77,246,2
286,462,30,187,137,287,381,40,67,40,0
3,273,88,230,60,106,21,8,0,305,4
186,278,92,156,447,235,236,83,21,143,3
91,97,10,19,88,487,254,42,80,268,1
202,132,60,12,464,320,183,30,34,219,1
186,194,86,175,220,491,22,10,23,90,1
100,218,96,437,383,3,194,72,90,213,3
125,62,52,246,246,464,192,55,92,206,1
417,457,23,7,396,421,122,35,38,393,2
440,382,31,364,206,179,26,48,23,303,2
446,202,85,498,348,211,178,16,53,485,4
253,5,15,181,258,26,68,68,24,65,3
267,368,83,417,26,198,99,65,27,18,2
332,180,87,175,485,290,360,74,74,307,4
128,296,71,179,438,97,229,25,16,491,4
497,16,37,95,86,25,308,52,13,106,2
43,186,17,414,190,182,247,87,30,492,0
237,370,28,5,407,333,335,36,74,83,1
453,276,5,290,281,404,239,88,97,429,2
494,313,75,304,452,68,234,72,48,7,0
78,375,22,227,100,105,175,2,9,169,4
7,21,67,258,428,456,58,57,1,498,2
177,224,82,83,380,334,101,95,36,296,0
379,417,1,101,173,490,46,53,67,116,1
152,193,32,306,290,359,282,39,70,301,0
195,320,0,58,354,40,284,21,28,451,5
284,218,54,309,271,320,496,44,79,478,4
61,317,40,451,199,145,155,26,70,148,0
485,114,44,222,281,215,499,35,30,313,4
2,260,84,341,91,229,30,51,34,101,3
320,428,58,7,455,409,492,76,53,174,4
2,339,31,23,34,32,268,42,97,232,0
381,447,65,420,83,64,413,34,38,477,3
67,434,73,320,381,352,365,36,0,13,2
200,396,60,428,149,274,495,11,47,149,0
50,95,75,74,437,205,306,90,5,420,1
462,331,51,499,208,330,135,20,20,116,5
105,241,70,169,104,148,301,28,73,42,2
454,168,12,178,259,84,13,3,27,378,0
400,216,48,139,340,318,338,29,43,7,2
294,489,20,450,145,130,212,67,2,209,4
122,201,82,40,390,113,493,81,80,388,4
459,457,35,407,476,415,422,5,59,409,1
158,30,41,301,467,356,349,5,25,196,2
139,187,6,381,120,207,311,74,13,403,2
118,120,47,373,424,365,121,20,49,127,3
458,185,82,101,413,223,244,97,9,495,1
264,188,5,42,489,247,495,99,77,440,2
182,95,77,384,13,313,374,28,8,428,2
364,57,66,470,45,219,87,26,76,98,3
372,106,97,197,80,235,167,19,81,361,3
114,262,78,275,435,78,246,25,39,293,5
105,135,65,438,449,139,323,53,40,43,4
422,214,48,388,207,325,23,87,41,461,2
286,13,51,193,293,175,460,39,3,428,5
369,416,17,259,62,64,291,72,84,211,2
180,476,86,291,450,474,190,56,79,349,3
304,389,86,94,475,25,169,79,2,283,0
115,411,49,227,87,312,144,68,17,377,3
480,157,96,472,324,24,326,10,12,333,1
153,154,0,230,487,252,453,31,8,442,2
48,87,73,160,477,439,120,17,91,485,2
453,397,24,95,445,296,411,20,96,384,4
461,22,71,63,320,468,363,26,93,198,4
403,443,15,31,102,339,445,18,72,94,3
398,467,19,479,377,72,437,89,91,21,5
457,286,14,208,33,121,99,84,43,47,2
180,175,64,115,113,244,53,35,81,126,2
294,217,17,119,225,285,333,54,20,63,4
450,288,5,191,175,99,377,69,90,263,3
478,114,79,57,70,140,220,8,89,357,2
166,399,39,291,56,484,310,77,94,197,5
413,254,33,199,283,489,419,80,72,58,2
317,488,4,40,129,270,93,31,76,318,3
444,253,70,196,50,200,176,16,59,144,2
256,424,37,112,291,228,427,9,97,440,2
469,321,11,228,115,152,289,91,76,202,4
4,224,39,97,372,291,462,95,40,57,3
488,8,70,191,37,99,355,8,78,177,5
10,425,52,161,7,259,409,86,74,354,1
133,336,68,286,305,25,20,87,82,161,5
101,158,35,286,5,169,67,23,20,416,2
417,377,91,33,427,296,425,88,39,395,2
110,227,7,390,429,132,423,4,34,387,0
126,431,0,224,228,139,466,85,3,216,0
185,194,93,80,390,214,443,51,16,297,1
112,304,40,424,115,288,484,13,54,305,1
320,149,21,415,177,333,114,44,79,99,4
219,39,77,299,238,245,158,55,74,159,5
315,102,6,157,408,125,498,53,88,122,1
406,446,35,142,199,213,103,21,27,243,4
171,267,50,118,38,2,2,84,88,158,2
267,214,2,473,483,41,65,97,98,111,3
272,39,74,71,100,362,445,90,84,488,3
124,219,49,205,362,247,380,90,71,390,0
184,138,33,7,484,65,285,22,48,231,1
124,161,62,18,199,322,468,89,80,241,2
391,485,46,321,124,196,298,40,8,437,4
168,460,11,308,438,468,467,54,97,336,2
213,103,69,149,82,168,329,74,19,315,1
301,302,60,322,299,138,460,1,24,136,3
24,267,84,419,109,423,240,46,37,68,4
476,234,82,121,354,252,369,79,14,298,0
421,38,10,98,357,202,64,12,98,216,4
323,374,71,262,310,367,153,32,77,98,1
377,136,84,395,162,461,262,92,63,404,5
66,415,81,125,145,399,344,16,9,203,3
268,174,92,417,24,214,496,28,70,143,3
427,297,61,300,382,334,260,64,66,169,1
436,344,21,173,361,138,359,73,38,412,1
191,229,41,442,195,312,436,31,88,465,0
248,496,81,348,322,385,117,76,98,478,2
186,394,17,447,385,329,275,88,56,198,1
300,39,37,318,106,374,244,64,23,203,2
195,273,89,295,39,228,423,2,47,95,3
400,214,4,149,472,94,58,80,33,444,5
361,130,74,452,371,441,51,74,30,442,4
343,100,42,436,46,280,453,15,42,284,4
229,166,78,36,361,428,328,91,4,111,3
367,293,71,180,196,226,388,14,90,57,4
35,141,30,105,244,102,61,6,35,183,5
195,443,5,279,99,410,235,44,21,54,2
82,291,81,212,255,263,132,53,70,102,4
129,42,84,499,64,114,344,53,9,39,4
38,166,74,180,108,319,439,34,26,45,4
494,331,29,331,70,330,301,92,52,107,4
454,288,43,213,456,202,56,76,99,499,5
150,149,75,161,403,51,267,33,24,486,5
218,39,91,267,38,345,229,62,10,472,0
206,378,10,66,32,205,54,4,92,248,4
368,284,41,185,409,3,234,94,73,347,2
68,493,48,409,381,269,67,17,79,51,0
336,325,61,4,403,263,169,20,44,139,1
25,168,63,70,337,23,455,62,70,285,4
14,356,4,439,43,47,497,30,95,385,5
79,118,96,342,293,289,373,9,45,350,3
95,314,89,172,150,43,361,12,49,171,0
128,308,98,462,96,29,364,49,24,168,4
42,482,74,318,66,183,145,73,30,205,0
389,187,5,293,465,365,431,20,54,468,0
143,113,59,80,243,368,213,17,88,234,2
11,147,49,116,210,478,163,58,59,150,3
429,467,42,386,315,171,130,14,56,200,1
437,272,22,318,285,198,105,29,79,71,3
172,63,26,489,154,350,292,94,21,407,3
140,5,63,294,24,44,93,14,53,91,3
414,234,95,412,241,447,192,89,40,80,0
67,231,71,7,450,126,321,15,87,66,1
352,277,4,472,84,205,417,2,83,131,4
32,55,96,42,161,485,458,99,75,122,3
71,34,79,225,69,438,187,55,0,410,3
7,254,43,499,437,122,187,80,17,426,3
81,169,82,229,437,249,316,58,9,427,1
13,314,1,30,475,290,280,64,73,63,1
119,499,33,449,150,314,344,75,51,0,5
239,398,26,374,113,278,399,97,31,431,3
262,150,26,29,324,157,477,19,41,19,4
56,492,8,6,101,65,44,25,1,40,5
376,300,90,77,72,427,429,56,13,162,1
154,426,22,127,393,401,401,62,40,132,3
331,341,36,71,64,403,112,28,32,8,3
96,162,50,191,170,291,389,58,73,431,2
284,163,2,265,33,285,320,53,85,180,0
291,80,49,227,144,246,481,87,41,16,2
139,218,43,487,366,330,248,9,66,277,2
280,202,67,338,395,125,394,64,91,120,2
162,374,79,492,396,443,387,90,59,473,3
471,345,6,317,498,66,412,92,40,158,4
200,481,51,79,419,190,44,52,14,423,3
32,377,90,154,353,26,440,40,1,235,4
5,319,46,126,328,330,87,48,17,159,3
370,362,53,307,397,125,133,70,38,441,4
352,69,6,373,315,396,426,68,12,192,0
371,225,77,0,174,7,372,61,2,50,4
205,101,28,486,71,404,162,58,84,8,2
296,355,51,489,494,48,448,41,13,6,1
140,305,32,143,382,34,452,25,99,375,4
481,485,19,163,326,336,224,39,28,308,3
296,315,61,2,363,378,79,1,9,224,1
112,278,18,258,247,232,28,42,6,442,4
441,169,68,386,241,392,477,99,14,318,3
333,438,99,182,410,439,95,27,21,462,1
285,460,18,141,369,186,3,87,99,84,0
459,407,92,99,436,299,489,95,13,456,0
435,181,14,96,144,221,415,27,93,486,3
210,211,35,192,390,338,326,88,4,111,1
206,228,29,295,467,270,441,80,79,351,2
219,262,35,28,107,122,427,54,19,373,5
244,243,9,453,465,301,239,18,42,223,0
379,351,68,11,277,205,344,54,3,404,5
410,231,13,29,45,400,429,77,74,281,2
41,451,27,138,443,302,121,19,31,317,1
21,446,86,282,101,479,215,92,98,121,3
313,405,39,261,454,109,185,67,5,337,3
391,382,69,83,481,23,12,69,79,497,1
398,384,31,23,328,345,129,49,71,0,3
403,134,63,211,184,358,383,51,22,388,3
150,305,4,52,220,13,153,69,96,485,2
349,197,49,139,99,319,445,41,3,489,5
193,216,70,324,471,205,69,78,8,244,0
298,283,39,228,497,453,319,2,48,330,3
238,172,83,302,202,483,418,51,75,395,2
151,50,98,351,485,415,259,69,11,345,1
459,489,97,420,175,80,259,79,14,486,4
448,354,62,17,471,282,129,36,55,408,2
188,446,24,18,181,409,296,72,53,140,0
149,1,27,115,63,336,137,66,59,400,5
258,439,64,261,41,350,337,94,70,82,2
350,66,40,362,255,19,355,84,67,178,5
174,36,20,247,276,395,181,41,35,218,0
234,228,92,32,146,214,116,30,99,267,0
151,321,66,27,295,16,361,91,55,267,1
145,273,92,450,284,56,90,76,1,188,5
338,222,8,121,350,299,282,42,14,436,0
184,202,93,361,361,126,364,26,99,421,1
280,268,57,133,297,98,430,54,9,380,5
78,171,16,27,310,350,303,44,85,211,0
367,432,4,110,490,264,157,6,97,280,0
213,296,91,141,201,349,60,31,50,461,5
385,91,5,133,429,475,278,32,80,296,3
97,484,12,66,374,198,128,94,96,61,4
190,450,64,333,355,63,455,71,84,5,1
275,153,32,147,10,93,43,0,50,244,0
487,426,97,233,430,150,266,53,71,97,3
169,409,55,33,125,340,247,30,53,42,4
191,392,55,399,197,356,153,66,24,381,4
247,284,11,346,343,179,84,50,56,57,0
339,67,94,449,99,155,437,23,95,260,1
61,156,14,137,99,348,117,63,56,397,4
430,34,76,438,204,309,463,11,82,456,4
456,480,0,384,376,325,294,57,91,274,0
117,2,36,8,228,234,463,17,47,347,2
345,288,51,435,161,169,248,63,76,120,0
430,457,51,350,269,253,477,20,37,353,3
246,78,96,434,15,253,164,8,88,325,2
467,40,11,488,89,117,197,39,86,262,5
88,351,53,342,396,2,315,38,96,329,2
176,210,52,496,485,43,151,5,97,162,4
410,369,63,271,160,314,52,59,95,348,5
89,255,30,494,55,440,460,45,42,451,5
31,396,30,242,350,169,489,3,8,341,3
468,393,9,373,372,469,85,92,86,27,5
348,416,5,425,464,37,317,84,26,148,2
77,430,3,236,482,98,122,61,76,166,2
317,2,32,258,146,32,218,14,92,301,2
23,497,97,432,138,261,437,24,3,219,2
59,79,2,296,294,311,36,70,54,47,1
446,329,18,478,60,309,89,73,7,448,0
129,479,53,187,397,370,428,70,94,220,2
0,195,84,137,127,187,261,8,8,486,5
440,413,51,389,53,236,181,4,16,443,2
206,14,3,259,403,28,84,98,1,252,0
21,93,64,278,121,480,495,63,76,457,5
281,19,36,323,358,35,1,24,40,155,3
489,33,89,102,425,366,51,85,78,263,2
327,258,65,262,58,184,275,64,5,371,3
228,36,24,197,315,414,189,91,67,262,4
62,80,52,455,282,309,146,40,59,155,4
201,296,42,455,284,27,329,38,42,255,4
452,229,29,427,283,422,79,65,29,129,1
45,66,11,334,58,462,188,99,40,223,4
388,302,13,360,92,453,105,42,34,186,3
80,80,42,78,80,441,298,36,42,227,1
380,347,13,463,309,306,36,3,56,395,3
46,68,79,471,298,69,490,34,88,223,5
234,207,80,91,169,498,108,84,57,85,1
398,100,7,195,289,472,390,19,46,46,5
432,467,80,122,193,160,212,97,37,196,1
363,290,39,111,474,226,472,56,88,24,3
35,5,29,171,59,470,481,46,23,401,5
156,448,73,243,101,267,225,42,40,127,3
332,374,63,347,364,77,263,84,19,376,1
138,430,10,286,268,378,494,32,64,431,1
419,78,70,79,391,104,341,94,29,475,2
373,460,52,216,155,86,431,99,3,79,3
275,385,12,267,441,271,158,80,68,236,5
28,94,24,139,131,299,148,43,98,40,3
357,494,97,266,130,153,418,54,95,199,2
225,71,3,20,180,291,168,39,34,87,2
460,296,83,468,114,244,345,76,90,410,4
304,492,42,51,138,346,371,46,1,54,5
256,32,46,328,286,448,9,3,27,320,3
364,192,47,112,337,141,162,21,66,56,0
319,419,50,400,222,457,120,2,45,232,5
269,351,10,457,243,0,114,57,19,460,2
84,61,1,120,85,367,213,34,53,304,3
244,429,86,113,172,219,478,88,17,89,5
129,381,15,289,109,84,442,0,79,482,2
76,494,10,215,456,433,177,57,95,332,2
32,128,26,150,233,83,276,29,93,212,2
193,419,51,157,417,276,220,70,65,179,0
20,40,36,346,77,336,390,81,72,460,1
377,262,20,316,57,357,110,18,70,328,2
238,115,21,480,410,499,323,42,76,312,3
101,81,26,72,424,297,363,63,52,133,1
336,10,77,380,6,365,213,21,53,1,4
171,49,30,276,2,381,11,89,21,435,1
499,306,76,225,275,468,239,74,52,160,1
152,204,22,120,126,190,5,5,76,19,5
458,75,7,344,418,6,318,83,16,452,5
234,424,59,52,18,452,487,34,93,487,4
176,327,96,378,435,79,470,14,94,494,0
364,470,80,258,384,344,34,51,68,309,5
324,75,7,464,494,289,398,41,15,187,4
353,469,56,80,249,444,108,45,62,495,2
466,186,32,227,283,337,105,43,69,143,2
245,327,84,377,243,40,76,48,19,370,0
184,465,47,97,409,354,60,35,36,324,2
18,340,53,183,302,448,154,53,5,443,2
75,124,14,210,435,29,151,98,92,232,4
285,288,95,321,330,102,262,73,0,232,5
440,337,23,220,4,356,223,3,51,338,3
483,361,99,209,238,376,283,35,68,70,5
264,471,83,442,53,482,126,14,65,301,2
18,143,11,403,417,430,170,65,55,488,4
283,303,44,366,413,62,179,28,88,453,5
67,397,1,111,288,21,255,18,76,153,1
497,214,88,173,82,458,298,89,93,475,2
225,484,56,18,126,409,9,92,45,470,0
370,345,50,467,152,249,426,37,82,54,5
313,377,26,378,26,442,79,54,33,172,0
248,188,35,459,195,443,15,23,84,440,5
468,159,85,265,77,144,431,80,45,184,2
444,54,88,244,463,335,41,2,21,78,3
118,495,39,72,9,381,307,90,17,196,5
163,412,62,237,50,269,18,32,95,221,0
312,200,54,37,437,98,419,63,44,199,0
204,82,52,312,261,260,283,54,29,9,5
354,388,19,319,486,284,280,78,18,388,3
352,138,50,492,162,106,199,63,27,234,2
305,168,79,378,23,187,343,83,9,27,1
156,384,18,51,413,307,328,77,35,218,2
32,164,81,310,51,40,386,35,62,55,4
334,15,17,378,153,114,445,31,41,358,4
391,254,0,395,416,478,179,31,0,260,4
172,93,47,458,85,493,465,36,27,59,1
80,92,12,229,291,171,303,94,63,255,4
331,190,96,399,5,123,182,85,26,225,3
391,394,60,298,122,333,467,46,57,440,0
436,219,82,213,427,154,41,73,4,104,0
50,62,77,357,125,17,40,94,55,106,1
243,299,80,106,481,278,408,49,19,245,2
24,373,65,394,463,113,12,74,28,398,5
121,207,66,474,0,118,376,38,47,14,3
437,498,82,147,35,185,59,1,70,395,1
349,215,76,140,278,236,153,3,56,1,0
346,436,90,73,113,364,20,1,86,174,0
340,179,25,221,364,261,2,10,58,56,5
40,193,34,188,81,145,313,33,12,418,1
456,487,29,204,410,14,154,0,7,321,0
42,160,70,362,46,479,404,15,91,462,2
16,86,92,98,54,314,241,29,3,442,1
260,359,34,273,7,18,106,54,6,323,3
417,348,30,303,59,126,220,93,2,440,4
442,259,82,294,412,191,193,27,56,219,2
278,21,20,113,112,300,273,53,49,284,4
1,128,19,80,205,267,33,36,0,361,0
13,284,54,370,234,461,134,58,8,157,0
183,336,91,292,126,59,86,57,29,278,4
371,423,83,98,267,369,424,31,99,260,5
362,474,90,227,321,7,99,57,51,497,2
183,131,24,322,63,341,158,89,93,373,1
234,18,5,375,69,432,408,26,91,367,2
89,460,91,383,329,123,499,43,96,338,1
89,197,26,119,78,52,387,41,8,155,2
